Table with row headers in column A and column headers in rows 9 through 10,,,,,,,,,,,,
HINC-03. People in Households by Total Household Money Income in 2021 and Age of Householder,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with "$250,000". Standard errors calculated using replicate weights)""he Gini index is calculated using micro-sorted data. Medians f",,,,,,,,,,,,
Total,,,,,,,,,,,,
All Races,,,,,,,,,,,,
Characteristic,Male,,,,,,Female,,,,,
,Total,Householder,Spouse of householder,Child of householder,Other relative of householder,Non-relative,Total,Householder,Spouse of householder,Child of householder,Other relative of householder,Non-relative
....Total,"162,005","65,502","25,779","50,134","11,064","9,527","166,558","65,700","35,656","44,968","11,838","8,397"
"Under $5,000","3,728","1,880",299,"1,113",235,200,"4,334","2,418",462,"1,046",272,136
"$5,000 to $9,999","1,992","1,032",183,545,101,130,"2,591","1,626",242,523,110,90
"$10,000 to $14,999","3,599","2,028",243,977,192,159,"4,695","3,281",344,727,201,142
"$15,000 to $19,999","3,731","1,970",317,981,287,176,"5,022","3,233",443,882,317,146
"$20,000 to $24,999","4,504","2,148",477,"1,265",322,292,"5,426","3,264",546,"1,062",377,176
"$25,000 to $29,999","4,435","2,027",524,"1,360",325,198,"5,371","3,038",698,"1,097",336,201
"$30,000 to $34,999","4,926","2,276",655,"1,386",308,301,"5,681","2,927",837,"1,297",385,235
"$35,000 to $39,999","5,165","2,251",614,"1,617",382,301,"5,700","2,676",916,"1,387",421,300
"$40,000 to $44,999","5,360","2,297",763,"1,555",425,320,"5,644","2,702",822,"1,426",416,279
"$45,000 to $49,999","4,955","2,061",727,"1,458",337,372,"5,075","2,362",829,"1,272",316,296
"$50,000 to $54,999","5,684","2,437",835,"1,669",384,359,"5,797","2,535","1,045","1,476",437,305
"$55,000 to $59,999","4,936","1,980",770,"1,430",414,342,"5,232","2,297",971,"1,240",417,308
"$60,000 to $64,999","5,337","2,193",862,"1,615",304,363,"5,470","2,247","1,009","1,494",386,335
"$65,000 to $69,999","4,653","1,896",733,"1,416",310,298,"4,881","1,828","1,040","1,337",391,284
"$70,000 to $74,999","4,947","1,993",767,"1,464",366,356,"4,941","1,825","1,086","1,291",431,308
"$75,000 to $79,999","4,774","1,871",783,"1,419",382,319,"4,584","1,731","1,011","1,220",306,316
"$80,000 to $84,999","4,463","1,732",742,"1,363",293,333,"4,625","1,694",967,"1,332",333,299
"$85,000 to $89,999","4,150","1,643",677,"1,222",333,274,"4,076","1,416",854,"1,150",346,310
"$90,000 to $94,999","3,990","1,636",614,"1,159",283,298,"3,993","1,307","1,018","1,065",355,248
"$95,000 to $99,999","3,578","1,308",640,"1,081",306,242,"3,380","1,222",823,822,265,249
"$100,000 to $104,999","4,459","1,678",782,"1,336",335,328,"4,459","1,535","1,032","1,248",381,263
"$105,000 to $109,999","3,553","1,351",664,"1,082",240,216,"3,528","1,172",895,944,296,221
"$110,000 to $114,999","3,514","1,269",676,"1,123",203,242,"3,419","1,118",857,"1,029",212,202
"$115,000 to $119,999","3,195","1,099",619,"1,060",223,194,"3,064",950,787,937,233,156
"$120,000 to $124,999","3,212","1,214",527,"1,012",229,230,"3,014",942,781,900,247,145
"$125,000 to $129,999","2,908","1,020",510,953,241,184,"2,738",827,697,823,232,159
"$130,000 to $134,999","2,795","1,035",518,887,201,153,"2,753",858,713,830,199,152
"$135,000 to $139,999","2,602",911,494,895,188,113,"2,456",744,637,763,181,130
"$140,000 to $144,999","2,576",992,440,782,184,179,"2,523",778,699,749,187,109
"$145,000 to $149,999","2,036",816,338,620,169,92,"1,917",539,597,509,159,113
"$150,000 to $154,999","2,460",960,437,777,172,114,"2,326",686,702,706,117,115
"$155,000 to $159,999","2,044",743,342,690,152,117,"1,966",532,557,706,124,47
"$160,000 to $164,999","1,998",757,344,626,151,120,"1,872",520,519,538,163,132
"$165,000 to $169,999","1,667",572,347,578,109,62,"1,664",487,428,528,137,83
"$170,000 to $174,999","1,934",633,402,658,143,99,"1,812",508,476,627,133,69
"$175,000 to $179,999","1,586",586,251,564,105,80,"1,399",380,438,425,85,71
"$180,000 to $184,999","1,491",601,272,445,104,70,"1,510",419,415,451,124,102
"$185,000 to $189,999","1,544",580,264,500,128,72,"1,457",370,458,429,149,51
"$190,000 to $194,999","1,285",487,210,438,79,71,"1,153",271,382,350,85,66
"$195,000 to $199,999","1,216",421,225,382,130,58,"1,145",314,316,310,114,91
"$200,000 and over","25,023","9,114","4,891","8,630","1,289","1,099","23,867","6,123","7,307","8,021","1,459",956
Median income (dollars),"89,524","80,923","103,957","95,199","87,061","83,915","82,611","60,901","109,582","95,818","85,860","85,669"
..Standard error (dollars),594,459,"1,152",913,"1,763","1,916",513,414,"1,018","1,131","1,360","1,590"
